Sentence 1: Natural language processing (NLP) helps computers understand human language.
token	pos	lemma	removed
Natural	ADJ	natural	False
language	NOUN	language	False
processing	VERB	process	False
(	PUNCT	(	True
NLP	NOUN	nlp	False
)	PUNCT	)	True
helps	NOUN	help	False
computers	NOUN	computer	False
understand	NOUN	understand	False
human	NOUN	human	False
language	NOUN	language	False
.	PUNCT	.	True

Sentence 2: In 2026, many apps use NLP for chat, search, and translation; however, results can vary.
token	pos	lemma	removed
In	ADP	in	True
2026	NUM	2026	False
,	PUNCT	,	True
many	ADJ	many	True
apps	NOUN	app	False
use	NOUN	use	False
NLP	NOUN	nlp	False
for	ADP	for	True
chat	NOUN	chat	False
,	PUNCT	,	True
search	NOUN	search	False
,	PUNCT	,	True
and	CONJ	and	True
translation	NOUN	translation	False
;	PUNCT	;	True
however	NOUN	however	False
,	PUNCT	,	True
results	NOUN	result	False
can	NOUN	can	True
vary	ADJ	vary	False
.	PUNCT	.	True

Sentence 3: Students test a pipeline: split sentences, tokenize words, tag parts of speech, lemmatize, and remove stop words.
token	pos	lemma	removed
Students	NOUN	student	False
test	NOUN	test	False
a	DET	a	True
pipeline	NOUN	pipeline	False
:	PUNCT	:	True
split	NOUN	split	False
sentences	NOUN	sentence	False
,	PUNCT	,	True
tokenize	NOUN	tokenize	False
words	NOUN	word	False
,	PUNCT	,	True
tag	NOUN	tag	False
parts	NOUN	part	False
of	ADP	of	True
speech	NOUN	speech	False
,	PUNCT	,	True
lemmatize	NOUN	lemmatize	False
,	PUNCT	,	True
and	CONJ	and	True
remove	NOUN	remove	False
stop	NOUN	stop	False
words	NOUN	word	False
.	PUNCT	.	True
